"filename", "language", "Python", "XML", "QSS", "Markdown", "Draw.io", "XMIND", "comment", "blank", "total"
"d:\Repo\CEESS\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 2
"d:\Repo\CEESS\charts\CompletionPieChart.py", "Python", 49, 0, 0, 0, 0, 0, 16, 8, 73
"d:\Repo\CEESS\charts\GradeVisualizationWidget.py", "Python", 88, 0, 0, 0, 0, 0, 53, 24, 165
"d:\Repo\CEESS\doc\FramelessWindow.svg", "XML", 0, 122, 0, 0, 0, 0, 0, 15, 137
"d:\Repo\CEESS\doc\FramelessWindow.xmind", "XMIND", 0, 0, 0, 0, 0, 385, 0, 9, 394
"d:\Repo\CEESS\doc\GradeUiStructure.drawio", "Draw.io", 0, 0, 0, 0, 49, 0, 0, 0, 49
"d:\Repo\CEESS\doc\Navigator.drawio", "Draw.io", 0, 0, 0, 0, 91, 0, 0, 0, 91
"d:\Repo\CEESS\doc\TestManager.drawio", "Draw.io", 0, 0, 0, 0, 108, 0, 0, 0, 108
"d:\Repo\CEESS\doc\login.drawio", "Draw.io", 0, 0, 0, 0, 148, 0, 0, 0, 148
"d:\Repo\CEESS\doc\serviceStructure.drawio", "Draw.io", 0, 0, 0, 0, 350, 0, 0, 0, 350
"d:\Repo\CEESS\doc\setting.drawio", "Draw.io", 0, 0, 0, 0, 10, 0, 0, 0, 10
"d:\Repo\CEESS\doc\sourceCode.drawio", "Draw.io", 0, 0, 0, 0, 191, 0, 0, 0, 191
"d:\Repo\CEESS\doc\structure.drawio", "Draw.io", 0, 0, 0, 0, 205, 0, 0, 0, 205
"d:\Repo\CEESS\doc\ui.drawio", "Draw.io", 0, 0, 0, 0, 25, 0, 0, 0, 25
"d:\Repo\CEESS\main\Grade.py", "Python", 113, 0, 0, 0, 0, 0, 26, 20, 159
"d:\Repo\CEESS\main\Learn.py", "Python", 37, 0, 0, 0, 0, 0, 9, 9, 55
"d:\Repo\CEESS\main\Login.py", "Python", 50, 0, 0, 0, 0, 0, 14, 10, 74
"d:\Repo\CEESS\main\Navigator.py", "Python", 105, 0, 0, 0, 0, 0, 19, 26, 150
"d:\Repo\CEESS\main\Setting.py", "Python", 123, 0, 0, 0, 0, 0, 15, 21, 159
"d:\Repo\CEESS\main\Simulator.py", "Python", 65, 0, 0, 0, 0, 0, 11, 10, 86
"d:\Repo\CEESS\main\Test.py", "Python", 194, 0, 0, 0, 0, 0, 30, 36, 260
"d:\Repo\CEESS\main\TestManage.py", "Python", 167, 0, 0, 0, 0, 0, 34, 27, 228
"d:\Repo\CEESS\main\UserManage.py", "Python", 122, 0, 0, 0, 0, 0, 15, 21, 158
"d:\Repo\CEESS\resources\img\background.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\book.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\btnDataProcess.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\btnExpTest.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\btnFalse.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\btnLearn.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\btnSafetyTest.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\btnScoreAnalyse.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\btnSetting.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\btnSimulator.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\btnTestManage.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\btnTrue.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\btnUserManage.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\eye.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\icon.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\start.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\submit.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\title.svg", "XML", 0, 32, 0, 0, 0, 0, 1, 1, 34
"d:\Repo\CEESS\resources\img\titleLeft.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\img\titleRight.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Repo\CEESS\resources\qss\navigator.qss", "QSS", 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\Repo\CEESS\resources\qss\style.qss", "QSS", 0, 0, 104, 0, 0, 0, 18, 30, 152
"d:\Repo\CEESS\run.py", "Python", 13, 0, 0, 0, 0, 0, 13, 8, 34
"d:\Repo\CEESS\simulation\AutoclaveSafety.py", "Python", 272, 0, 0, 0, 0, 0, 42, 56, 370
"d:\Repo\CEESS\simulation\CentrifugeOperation.py", "Python", 229, 0, 0, 0, 0, 0, 23, 46, 298
"d:\Repo\CEESS\simulation\EnterTheLab.py", "Python", 217, 0, 0, 0, 0, 0, 43, 47, 307
"d:\Repo\CEESS\simulation\EyeWasherOperation.py", "Python", 225, 0, 0, 0, 0, 0, 24, 42, 291
"d:\Repo\CEESS\simulation\FireExtinguisherUsing.py", "Python", 185, 0, 0, 0, 0, 0, 34, 44, 263
"d:\Repo\CEESS\simulation\GasCylindersOperation.py", "Python", 273, 0, 0, 0, 0, 0, 35, 55, 363
"d:\Repo\CEESS\simulation\LeaveTheLab.py", "Python", 10, 0, 0, 0, 0, 0, 8, 5, 23
"d:\Repo\CEESS\simulation\SignRecognizing.py", "Python", 197, 0, 0, 0, 0, 0, 20, 41, 258
"d:\Repo\CEESS\simulation\generate\Ui_AutoclaveSafety.py", "Python", 113, 0, 0, 0, 0, 0, 10, 41, 164
"d:\Repo\CEESS\simulation\generate\Ui_CentrifugeOperation.py", "Python", 113, 0, 0, 0, 0, 0, 10, 41, 164
"d:\Repo\CEESS\simulation\generate\Ui_EnterTheLab.py", "Python", 161, 0, 0, 0, 0, 0, 10, 59, 230
"d:\Repo\CEESS\simulation\generate\Ui_EyeWasherOperation.py", "Python", 112, 0, 0, 0, 0, 0, 10, 39, 161
"d:\Repo\CEESS\simulation\generate\Ui_FireExtinguisherUsing.py", "Python", 60, 0, 0, 0, 0, 0, 10, 25, 95
"d:\Repo\CEESS\simulation\generate\Ui_GasCylindersOperation.py", "Python", 113, 0, 0, 0, 0, 0, 10, 37, 160
"d:\Repo\CEESS\simulation\generate\Ui_LeaveTheLab.py", "Python", 12, 0, 0, 0, 0, 0, 10, 9, 31
"d:\Repo\CEESS\simulation\generate\Ui_SignRecognizing.py", "Python", 66, 0, 0, 0, 0, 0, 10, 27, 103
"d:\Repo\CEESS\simulation\ui\AutoclaveSafety.ui", "XML", 0, 219, 0, 0, 0, 0, 0, 1, 220
"d:\Repo\CEESS\simulation\ui\CentrifugeOperation.ui", "XML", 0, 222, 0, 0, 0, 0, 0, 1, 223
"d:\Repo\CEESS\simulation\ui\EnterTheLab.ui", "XML", 0, 350, 0, 0, 0, 0, 0, 1, 351
"d:\Repo\CEESS\simulation\ui\EyeWasherOperation.ui", "XML", 0, 209, 0, 0, 0, 0, 0, 1, 210
"d:\Repo\CEESS\simulation\ui\FireExtinguisherUsing.ui", "XML", 0, 100, 0, 0, 0, 0, 0, 1, 101
"d:\Repo\CEESS\simulation\ui\GasCylindersOperation.ui", "XML", 0, 227, 0, 0, 0, 0, 0, 1, 228
"d:\Repo\CEESS\simulation\ui\LeaveTheLab.ui", "XML", 0, 19, 0, 0, 0, 0, 0, 1, 20
"d:\Repo\CEESS\simulation\ui\SignRecognizing.ui", "XML", 0, 130, 0, 0, 0, 0, 0, 1, 131
"d:\Repo\CEESS\test.py", "Python", 42, 0, 0, 0, 0, 0, 9, 16, 67
"d:\Repo\CEESS\ui\design\Grade.ui", "XML", 0, 92, 0, 0, 0, 0, 0, 1, 93
"d:\Repo\CEESS\ui\design\Learn.ui", "XML", 0, 72, 0, 0, 0, 0, 0, 1, 73
"d:\Repo\CEESS\ui\design\Login.ui", "XML", 0, 351, 0, 0, 0, 0, 0, 1, 352
"d:\Repo\CEESS\ui\design\Setting.ui", "XML", 0, 315, 0, 0, 0, 0, 0, 1, 316
"d:\Repo\CEESS\ui\design\Simulator.ui", "XML", 0, 26, 0, 0, 0, 0, 0, 1, 27
"d:\Repo\CEESS\ui\design\Student.ui", "XML", 0, 151, 0, 0, 0, 0, 0, 1, 152
"d:\Repo\CEESS\ui\design\Teacher.ui", "XML", 0, 160, 0, 0, 0, 0, 0, 1, 161
"d:\Repo\CEESS\ui\design\Test.ui", "XML", 0, 579, 0, 0, 0, 0, 0, 1, 580
